PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Target
-6.185202133682424,-3.7040683839809727,0.01949762045608533,2.4339916255671925,1.1505700558553595,1.8639807552399272,-0.8369263908811556,-0.6174745699832676,-1.9439411026426567,0.3271700307639893,0.751944250761193,-0.5610621045765566,-0.5595219505350193,-0.7323562688617989,0.13502785672308826,-0.25216673188068567,0.4715111416602997,0.10543510072168816,-0.21618461909576348,-0.3361286439846693,1.0
-1.963727618397054,-6.467970348484125,5.357859521166241,-4.254247381135864,-0.5495250547333616,-0.10541484542416035,-0.5332365181238962,-0.784654414230999,-1.1078830008155602,0.2773296760240891,1.2921127105165457,0.07985110110130211,-0.4070698273434693,-0.20736305644737696,0.1480718342307894,-0.1844235193944198,0.18576497713172335,-0.2946036720340578,-0.2500849036826513,0.39561860120506004,1.0
-5.708907161582218,-4.1168474264887625,-0.3856205528927076,-2.4250691793573145,1.7452342446950613,0.961641688649318,0.05082969051534203,-0.8094918541134359,-0.9733465370065573,0.4384037821993938,0.016232363827132334,0.6414727998134191,-0.314558417808319,-0.08876952999337967,-0.022058760368629138,-0.035812149092643825,0.3809341812633715,0.6136526734196117,0.0003168196282246072,-0.8628349346949309,1.0
-5.503167772118266,-3.101418132523678,-0.3914318753591761,-2.0800762621575104,-1.0640347318898307,0.08896339848723744,-0.7016111514998826,-0.8215834236920287,1.5542735089322763,0.411430657288929,0.42828958240529813,0.7068827006664081,-0.5253274566942056,-0.17397668758385312,0.6685570908224681,-0.13976069833193303,0.3991942902866864,-0.17511609113060433,-0.470781182193862,0.17643998913537423,1.0
-7.978923503037672,-0.653684693089471,-0.558572724736401,2.2006995522405166,-0.20039793808815642,1.9006645173207444,0.3912277860871872,0.04915440105396873,0.7647492625866412,-0.5062864612483663,-0.7054530547039712,0.24047645814191032,-0.5821294426289882,-1.2971549786142995,0.5652464038550739,-0.26267868233832115,0.12398618085634824,0.6664614761448129,0.1372343778636983,-0.15723211882690596,1.0
-6.924014636970848,-0.11495403169516383,1.351007699356996,-2.5844242100474197,0.40830466553246375,-0.8385843194780814,1.2636982995472523,0.24597022388794132,-1.469592995695754,0.43230637345349265,1.131723638674611,0.8433674449804289,-0.42002509741696714,0.40520619822961573,-0.28253562589746073,-0.11803953777316481,-0.5520202376539247,-0.2289214641627318,-0.008594567937680542,0.03835838045273009,1.0
-4.811021719820796,-3.7347831669810256,1.977376870378379,-3.038685166290518,-0.0024222556633611836,0.059139252354466265,-0.5254737034514896,-0.9210904575546471,0.5568224893034088,-0.01956481167463142,0.49573959709417725,0.8850912232796221,-0.4467091406055084,0.06299760828777884,0.2491802591081634,0.09707182593524122,0.13947637585947853,-0.749476436661425,-0.3722990847175136,-0.30718320687133577,1.0
-6.63973020005977,-2.053099647036119,0.12993424376698104,-2.535805345486907,-0.40254072211986397,-0.8088283366667868,-0.4276489703375299,0.3142562750368705,1.596440148152133,0.8446632525694318,-0.48409118354177066,1.4333040682663418,0.40420961370861647,0.26183866282685164,0.3122260115439454,-0.33471092335594255,0.06339800364970186,0.07026539501618839,-0.2175123779647587,-0.28377058937703586,1.0
-4.89793629608589,-2.603674286563058,0.24891998990774916,1.0451559062623612,1.3219079051549498,-1.4662502089428895,-1.104151201138058,2.469644782551817,1.2403695432210688,-0.5556185508473934,-1.6607887405998802,-0.32112274326260704,1.0097809779599298,0.46724702414276864,0.6627740397350765,-1.3027870497188387,-0.05913959512022468,0.255247570682412,-0.3259020439290815,-0.44024698709655397,1.0
-3.7474399166909986,13.983744096615652,6.042779026293572,-4.0681315228883985,2.161907464321982,0.37938232810911343,1.1104040406500453,1.5270584132765794,1.8599883034039655,0.3693053207298562,0.5671449675225237,0.6069059779931467,-0.23272603824692661,-0.01121846531963322,0.4514995843165147,0.3781493129911174,0.27371416216802297,0.10107050442057675,-0.039762495309206114,-0.2668241419211007,1.0
